path,ground_truth,free_act,instruct_act
EXP-1 Free/User-1-Bohan/Task-1/drink-12/output.mp4,视频里的人先蹲下捡起地上的水杯，随后站起来喝了一口水，之后似乎准备放置水杯。,视频里的人**蹲下捡起地上的水杯**，随后**站立起来喝了一口水**。,视频中的人弯腰捡起地上的水杯，喝了一口水，随后将水杯放置在桌子上，之后移动脚步。
EXP-1 Free/User-1-Bohan/Task-2/writing-1/output.mp4,视频里的人坐在桌前，手持笔在黄色的本子上书写。,视频中的人坐在办公桌前的椅子上，手持笔在黄色的笔记本上进行书写（或记录）操作，专注于桌面的书写任务。,视频中的人坐在办公桌前，正拿着笔在黄色的纸张上书写（或进行记录工作）。
EXP-1 Free/User-1-Bohan/Task-2/writing-2/output.mp4,视频里的人先是站在桌旁，随后坐到椅子上，拿起桌上的笔，在黄色的笔记本上进行书写，之后还调整了一下姿态。,视频中的人先站在桌旁，随后坐下，拿起笔在桌子上的黄色笔记本上写字（或记录内容）。,视频里的人先是站在办公桌旁，随后弯腰坐到椅子上，接着拿起笔（或类似书写工具），在桌上的黄色纸张上进行书写（或记录）。
EXP-1 Free/User-1-Bohan/Task-2/writing-3/output.mp4,视频里的人走进房间，坐到桌子旁的椅子上，随后开始在桌上的本子上写字。,视频里的人走进房间，坐到桌前的椅子上，随后在桌上的黄色本子（或纸张）上写字（记录内容）。,视频里的人走进房间，坐在桌子前的椅子上，随后开始在黄色的纸张（或笔记本）上进行书写（或记录）操作。
EXP-1 Free/User-1-Bohan/Task-2/writing-4/output.mp4,视频里的人坐在办公桌前，先是调整眼镜，随后拿起笔，在黄色的笔记本上进行书写操作。,视频中的人坐在办公桌前，先是调整了眼镜，随后拿起笔在黄色的笔记本上书写。,视频中的人坐在办公桌前，先抬手触碰脸部（似调整眼镜），随后拿起笔，低头在黄色笔记本上书写。
EXP-1 Free/User-1-Bohan/Task-2/writing-5/output.mp4,视频里的人坐在办公桌前，拿起笔后，在黄色笔记本上写字，期间还用手撑着头。,视频里的人坐在办公桌前，先是摆弄、调整手中的笔，随后用左手扶头（或整理眼镜/头发），同时右手持笔在黄色的本子上进行书写（记录）操作。,视频里的人坐在办公桌前，起初在黄色纸张上进行操作（如书写、整理），之后用手撑住头部，似乎在思考或感到疲惫。
EXP-1 Free/User-1-Bohan/Task-2/writing-6/output.mp4,视频里的人坐在椅子上，伸手拿起笔，随后俯身于桌上的黄色笔记本上写字，之后坐直身体。,视频里的人坐在椅子上，伸手拿起笔，随后俯身（低头）在桌面上的黄色本子上**书写**（或记录内容），之后坐直，似乎完成书写或检查所写内容。,视频里的人坐在办公桌前，**拿起笔在黄色的本子上写字**，之后抬起头（似乎在思考或查看内容）。
EXP-1 Free/User-1-Bohan/Task-2/writing-7/output.mp4,视频中的人调整办公椅位置靠近桌子后，拿起笔在桌上的黄色笔记本上进行书写。,视频中的男子坐在办公椅上，调整椅子位置靠近桌子后，开始在桌上的黄色笔记本上写字（或进行记录）。,视频中的人坐在办公椅上，随后移动椅子靠近桌子，拿起笔在桌面上的黄色本子上书写。
EXP-1 Free/User-1-Bohan/Task-2/writing-8/output.mp4,视频中的人走进房间，从桌上取了一支笔，随后坐在椅子上，在黄色的笔记本上进行书写。,视频中的人走进房间，从桌上拿起笔，随后坐在椅子上，在桌面上的黄色本子上书写。,视频中的人走进房间，拉过椅子坐下后，开始在办公桌上的黄色纸张（或笔记本）上写字（记录）。
EXP-1 Free/User-1-Bohan/Task-2/writing-9/output.mp4,视频中的人走到桌子前，拿起一个黄色笔记本，随后坐下，拿起笔在笔记本上书写。,视频中的人走到桌子旁，拿起一本黄色笔记本，随后坐下，用桌上的笔在笔记本上书写。,视频中的人走进房间，来到办公桌前拿起黄色的本子，随后坐下，开始在本子上书写（或进行记录）。
EXP-1 Free/User-1-Bohan/Task-2/writing-10/output.mp4,视频中的人坐在椅子上，俯身拿起笔后，在桌上的黄色笔记本上进行书写。,视频里的人坐在椅子上，弯腰从地上（或椅子附近）拿起笔后，坐直并在桌上的黄色笔记本上写字。,视频中的人先坐在椅子上，低头捡起地上的笔；随后移动椅子靠近桌子，在桌上的黄色纸张（或本子）上进行书写（或记录）操作。
EXP-1 Free/User-1-Bohan/Task-2/writing-11/output.mp4,视频中的人坐在办公桌前，起初手扶额头（似思考或休息），随后低头在笔记本上写字；之后抬起头，摆弄手中的笔，并调整黄色笔记本的位置。,视频里的人坐在办公桌前，起初用手托着头，随后低头在黄色笔记本上写字，之后似乎调整手中的笔（或进行相关手部操作）。,视频中的人坐在办公桌前，起初头靠在手上，随后抬手整理头发，接着拿起笔在黄色的纸张上写字。
EXP-1 Free/User-1-Bohan/Task-2/writing-12/output.mp4,视频中的人先坐在椅子上翻看笔记本，随后移动椅子靠近桌子，将笔记本放在桌上，拿起笔在笔记本上书写。,"视频中的人**移动办公椅靠近桌子**，将手中的笔记本放在桌面上，随后**拿起桌上的笔在笔记本上书写**，之后似乎**拿起桌上的纸张**（或处理纸张）。  

（具体动作：先转动椅子靠近书桌，把黄色笔记本放置在桌面，再用笔画写，最后拿起桌上的纸张。）",视频里的人先坐在椅子上整理黄色的文件夹（或类似物品），随后将其放置在办公桌上，接着拿起桌上的笔，在文件夹上进行书写（或记录）操作。
EXP-1 Free/User-1-Bohan/Task-3/listening-1/output.mp4,视频里的人坐在桌前，拿起桌上的白色耳机并戴在了头上。,视频中的人坐在桌前，拿起桌上的白色耳机，将其戴在了头上。,视频里的人（坐在办公桌前的人）拿起桌上的白色耳机并将其戴上。
EXP-1 Free/User-1-Bohan/Task-3/listening-2/output.mp4,视频中的人坐在桌前的椅子上，将原本置于头顶的耳机调整并佩戴到耳朵上。,视频里的人坐在椅子上，将原本放置在头顶的耳机调整佩戴到耳朵上。,视频里的人坐在办公桌旁的椅子上，**将耳机戴在头上**，并通过手部动作（一只手扶耳机、一只手触碰头部）**调整耳机的佩戴位置**（同时似乎在整理头发或调整自身姿态）。
EXP-1 Free/User-1-Bohan/Task-3/listening-3/output.mp4,视频中的人坐在椅子上，将原本挂在脖子上的耳机戴到了头上。,视频里的人坐在桌前，将原本挂在脖子上的耳机戴到了头上。,视频中的人坐在办公椅上，先将挂在脖子上的耳机戴到头上，随后将头靠在桌面上，似乎在休息（或表现出疲惫状态）。
EXP-1 Free/User-1-Bohan/Task-3/listening-4/output.mp4,视频里的人走进房间，走到桌子旁，拿起桌上的耳机并戴在了头上。,视频中的人走进房间，走到桌子旁，拿起桌上的耳机并戴在了头上。,视频中的人走进办公室，走到桌子旁，拿起桌上的耳机并戴上。
EXP-1 Free/User-1-Bohan/Task-3/listening-5/output.mp4,视频里的人将一把椅子拉到桌前并坐下，随后拿起桌上的耳机戴在头上。,视频中的人走近椅子并调整其位置，随后坐下，接着从桌上拿起耳机并戴在头上。,视频里的人走进办公室，坐到椅子上，随后拿起桌上的白色耳机并戴上。
EXP-1 Free/User-1-Bohan/Task-3/listening-6/output.mp4,视频里的人走进办公区域，拿起桌上的耳机戴上，随后坐在椅子上。,视频里的人走进办公区域，走到桌前拿起耳机戴上，随后坐在椅子上，似乎准备开始工作或使用电脑。,视频中的人走进房间，拿起桌子上的白色耳机戴上，随后坐在椅子上，还调整了耳机的位置。
EXP-1 Free/User-1-Bohan/Task-3/listening-7/output.mp4,视频中的人从桌子上的支架（或容器）中拿起耳机，随后将耳机戴到了自己的头上。,视频里的人从桌上拿起耳机，随后将耳机戴在了头上。,视频里的人从桌子上拿起耳机，然后将耳机戴在了头上。
EXP-1 Free/User-1-Bohan/Task-3/listening-8/output.mp4,视频里的人先从桌子上拿起耳机，接着坐在椅子上，将耳机戴在头上，随后又取下了耳机。,视频中的人走到桌子旁拿起耳机，随后坐下并将耳机戴在头上，之后又取下耳机。,视频中的男子先拿起桌上的白色耳机，随后坐到椅子上，将耳机戴在头上试戴，之后又取下了耳机。
EXP-1 Free/User-1-Bohan/Task-3/listening-9/output.mp4,视频里的人将脖子上的耳机戴到头上，然后坐在椅子上。,视频中的人先是站着，随后将挂在脖子上的耳机戴到头上，接着坐在了椅子上。,视频中的人将原本挂在脖子上的耳机戴到头上，随后坐在椅子上。
EXP-1 Free/User-1-Bohan/Task-3/listening-10/output.mp4,视频中的人站在桌旁，将手中的耳机戴到了头上。,视频中的人站在办公桌旁，手里拿着一副耳机，随后将耳机戴在了头上。,视频里的人站在办公桌旁，拿起一副耳机并将其戴在了头上。
EXP-1 Free/User-1-Bohan/Task-3/listening-11/output.mp4,视频中的人走进房间，走到桌子旁拿起耳机，随后将耳机戴在头上。,视频中的人走进房间，来到桌子旁，拿起桌上的耳机并将其戴上。,视频中的人走进办公室，走到摆放耳机的桌子前，拿起桌上的耳机并将其戴在头上。
EXP-1 Free/User-1-Bohan/Task-3/listening-12/output.mp4,视频里的人从桌子上拿起耳机，戴在了头上，转身靠在桌子上，还调整了耳机的位置。,视频中的人从桌子上拿起耳机，将其戴在头上并进行了调整。,视频中的人从桌子上拿起一副白色耳机，随后将耳机戴在了头上。
EXP-1 Free/User-1-Bohan/Task-4/phone-1/output.mp4,视频里的人先是操作手机（如点击屏幕），随后将手机举到耳边，似乎在接听电话或聆听手机声音。,视频里的人先操作手机，随后将手机举到耳边（疑似接听/拨打电话或聆听），之后又移开手机。,视频里的人坐在椅子上，起初低头看着手中的手机，随后将手机举到耳边，似乎是在接听电话（或拨打电话）。
EXP-1 Free/User-1-Bohan/Task-4/phone-2/output.mp4,视频里的人坐在椅子上，将手机举到耳边（疑似接听电话或听语音），随后又移开手机。,视频里的人坐在椅子上，将手机举到耳边（疑似接听电话或听取语音），随后又将手机移开。,视频中的人坐在椅子上，先拿着手机将其贴近耳边（似在听或模拟通话），随后把手机放在了旁边的桌子上。
EXP-1 Free/User-1-Bohan/Task-4/phone-3/output.mp4,视频中的人坐在椅子上，先操作手机，接着将手机贴近耳边（疑似打电话），之后又放下手机继续操作。,视频中的人坐在椅子上，手持手机，先操作手机，随后将手机贴近耳边（似乎尝试通话或聆听），之后又低头继续操作手机。,视频中的人坐在办公椅上，手持手机，先是查看手机，接着将手机贴近耳边（疑似接听电话或聆听语音），之后又低头继续操作手机。
EXP-1 Free/User-1-Bohan/Task-4/phone-4/output.mp4,视频中的人坐在椅子上，先从兜里掏出手机，将手机贴近耳边（似在通话），之后又查看手机。,视频里的人坐在椅子上，从腿上拿起手机，将手机贴近耳边（疑似进行通话），之后又将手机拿开。,视频中的人坐在椅子上，从身上取出手机，先将手机贴近耳边（似有接听或使用通话功能的动作），随后低头查看手机。
EXP-1 Free/User-1-Bohan/Task-4/phone-5/output.mp4,视频中的人坐在椅子上，先从兜里掏出手机，随后将手机举至耳边，似乎在进行通话（接听或拨打电话）。,视频里的人坐在椅子上，从腿上拿起手机，随后将手机举到耳边，似乎在接听或拨打电话。,视频中的人坐在椅子上，随后拿起手机并将其贴近耳边，似乎在接听或拨打电话。
EXP-1 Free/User-1-Bohan/Task-4/phone-6/output.mp4,视频里的人坐在椅子上，伸手从桌上拿起手机，随后将手机贴近耳边（似乎在打电话或接听电话）。,视频里的人坐在椅子上，伸手拿起桌子上的手机，查看（或接听）后，将手机放在腿上。,视频中的人坐在椅子上，伸手拿起桌子上的手机，将手机贴近耳边（或查看屏幕），随后又把手机放回桌子上。
EXP-1 Free/User-1-Bohan/Task-4/phone-7/output.mp4,视频中的人站着用手机打电话，随后将手机从耳边移开，似乎结束了通话，双手握住手机。,视频里的人一开始在打电话，随后将手机从耳边移开，用手操作手机，之后双手握着手机。,视频里的人站着用手机通话，通话结束后，他将手机从耳边拿开，低头查看（或操作）手机。
EXP-1 Free/User-1-Bohan/Task-4/phone-8/output.mp4,视频里的人一开始站着用手机通话，随后坐到椅子上，接着将手机从耳边拿开并查看手机。,视频里的人先是站着用手机通话，随后坐在椅子上，接着低头查看手机（似乎结束了通话）。,视频中的人起初**站着打电话**，随后**弯腰坐到椅子上**，接着**低头查看（或操作）手机**。
EXP-1 Free/User-1-Bohan/Task-4/phone-9/output.mp4,视频中的人手持手机通话，在室内走动几步后转身，随后挂断电话并查看手机。,视频中的人**手持手机通话**，在办公室内**走动（向前走、转身）**，随后**结束通话（将手机从耳边拿开）**，并**查看/操作手机**。,视频中的人手持手机通话，在房间内走动，随后结束通话，低头查看手机。
EXP-1 Free/User-1-Bohan/Task-4/phone-10/output.mp4,视频中的人走进房间，来到桌子旁拿起手机，随后将手机举到耳边（似乎在进行通话）。,视频里的人走进房间，来到桌子旁，拿起桌上的手机，随后将手机贴近耳边（似乎在通话或接听），之后又查看手机。,视频中的人走进办公室，走到一张办公桌前，拿起桌上的手机并将其举到耳边，似乎在打电话。
EXP-1 Free/User-1-Bohan/Task-4/phone-11/output.mp4,视频里的人先站在房间中，随后拿起手机并走到镜头前附近，接着将手机举到耳边（似乎在打电话），之后又查看手机。,视频中的男子（穿白色T恤、黑色短裤）先是站立着，随后拿起手机，走近镜头附近，接着将手机举到耳边，似乎在**接听电话**（或聆听语音类内容）。,视频中的人操作手机后，将手机贴近耳边，似乎在进行通话（接听或拨打电话）。
EXP-1 Free/User-1-Bohan/Task-4/phone-12/output.mp4,视频中的人手持手机通话，走向一把黑色办公椅，随后坐下，并将手机从耳边拿开，似乎在查看手机内容（或结束通话）。,视频里的男子边打电话边走到一把办公椅前，随后坐下，之后结束通话并低头查看手机。,视频中的人一开始在打电话，随后走到一把黑色办公椅前坐下，坐下后似乎结束了通话，开始低头查看手机。
EXP-1 Free/User-2-Jiahe/Task-1/drink-1/output.mp4,视频中的人坐在桌前，拿起杯子喝了水，之后将杯子放下。,视频里的人坐在办公桌前的椅子上，**拿起杯子喝了一口水**，之后似乎在查看杯子或准备将其放回桌面。,视频中的人坐在办公桌前，**拿起水杯喝了一口**，之后放下水杯，似乎准备继续手头的工作（或操作桌上物品）。
EXP-1 Free/User-2-Jiahe/Task-1/drink-2/output.mp4,视频里的人坐在桌前，拿起桌上的水杯喝了水，随后将水杯放下。,视频里的人坐在桌前，拿起水杯喝了一口水，之后将水杯放下。,视频中的人坐在办公桌前，拿起桌上的黑色杯子，喝了一口后，将杯子放回桌面。
EXP-1 Free/User-2-Jiahe/Task-1/drink-3/output.mp4,视频中的人坐在办公桌前，拿起桌上的水瓶喝了水，随后放下水瓶。,视频里的人坐在办公桌前，**拿起水杯喝了水**（喝了至少两次），之后将水杯放下（或准备放下）。,视频中的人坐在办公桌前，伸手拿起桌上的水杯，将水杯举到嘴边喝了几口，随后把水杯放回桌面上。
EXP-1 Free/User-2-Jiahe/Task-1/drink-4/output.mp4,视频里的人走到桌子旁，拿起水杯喝了水，之后将水杯放下。,视频里的人走到桌子旁，拿起水杯喝了一口水，随后将水杯放回桌上。,视频里的人走进房间，拿起桌上的水杯喝了水，之后放下水杯。
EXP-1 Free/User-2-Jiahe/Task-1/drink-5/output.mp4,视频中的人走到桌子旁，拿起桌上的水瓶，喝了一口水，之后将水瓶放回桌面。,视频里的人从桌子上拿起一个水瓶，喝了一口水，之后盖好瓶盖并将水瓶放回桌子。,视频中的人（穿白色T恤）走进房间，拿起桌上的黑色水杯，拧开杯盖后喝了水，随后将水杯放回桌面。
EXP-1 Free/User-2-Jiahe/Task-1/drink-6/output.mp4,视频中的人走到办公桌旁，拿起一杯水，打开杯盖后喝了几口，随后盖上杯盖，将杯子放回桌面。,视频中的人走到桌子旁，拿起水杯，拧开杯盖后喝了水，随后将水杯放回桌子。,视频中的男生从站立处走到办公桌旁，拿起桌上的黑色水杯，打开杯盖喝了一口水，随后将水杯放回桌面并盖好杯盖。
EXP-1 Free/User-2-Jiahe/Task-1/drink-7/output.mp4,视频里的人坐在办公桌前，先放下手中的手机，接着拿起水杯喝了水，喝完后将水杯放回桌面。,视频里的人坐在桌前，先放下手中的手机，接着拿起桌上的水杯喝了一口水，之后放下水杯，还调整了桌上的笔记本（或笔）。,视频里的人（穿白色T恤、戴眼镜的男子）坐在办公桌前，先是专注查看手机，随后放下手机，拿起桌上的黑色水杯喝水；喝完后放下水杯，又继续查看手机。
EXP-1 Free/User-2-Jiahe/Task-1/drink-8/output.mp4,视频里的人坐在办公桌前，拿起杯子喝了水，之后将杯子放置到桌上。,视频中的人坐在桌前的椅子上，拿起杯子喝了几口水，之后将杯子放下。,视频里的人坐在办公桌前的椅子上，**先后两次拿起水杯喝水**，期间还**操作了桌上的手机（或类似电子设备）**（放下水杯后，短暂触碰/操作桌上的手机类物品）。
EXP-1 Free/User-2-Jiahe/Task-1/drink-9/output.mp4,视频里的人坐在桌前，双手捧杯喝水，之后将杯子放回桌面。,视频里的人坐在桌前，先拿起一个带红色盖子的杯子，接着将杯子举到嘴边喝了水，之后把杯子放回了桌上。,视频中的人坐在办公桌前，**伸手拿起桌面上的黑色设备（疑似望远镜或观测仪器），将其举至眼前进行观察**，随后放下该设备，继续操作桌面物品（如手机）。
EXP-1 Free/User-2-Jiahe/Task-1/drink-10/output.mp4,视频里的人站在桌旁，拿起桌上的杯子喝了一口，之后将杯子放回桌面。,视频中的人站在办公桌旁，**拿起桌上的杯子**，饮用了一口后，**将杯子放回桌面**。,视频中的人先是坐在椅子上，随后起身，拿起桌上的水杯饮水，饮毕将水杯放回桌面。
EXP-1 Free/User-2-Jiahe/Task-1/drink-11/output.mp4,视频中的人走到桌子旁，拿起桌上的杯子喝了里面的液体，随后将杯子放回桌面。,视频中的人走到桌子旁，拿起桌上的杯子喝了水，之后将杯子放回桌上。,视频中的人（穿着带卡通图案的白T恤、黑裤子）走到办公桌前，拿起桌上的黑色水杯喝了一口，随后将水杯放回桌上。
EXP-1 Free/User-2-Jiahe/Task-1/drink-12/output.mp4,视频中的人从桌上拿起一个杯子，打开杯盖后喝了一口，之后盖上杯盖并将杯子放回桌面。,视频中的人从桌上拿起一个杯子，打开杯盖后喝了一口水，随后盖上杯盖，将杯子放回桌面。,视频中的站立者拿起桌上的水杯喝了一口水，随后拧好杯盖，将水杯放回桌面。
EXP-1 Free/User-2-Jiahe/Task-2/writing-1/output.mp4,视频中的人坐在椅子上，专注地在桌子上的黄色笔记本上写字。,视频里的人坐在办公椅上，专注地在桌子的黄色本子上写字（或做记录）。,视频里的一名男子坐在办公桌前的椅子上，低头专注地在本子上写字（或做笔记、记录）。
EXP-1 Free/User-2-Jiahe/Task-2/writing-2/output.mp4,视频中的人坐在椅子上，腿上放着一个黄色笔记本，他手持笔在笔记本上进行书写。,视频里的人坐在椅子上，在腿上的笔记本上写字（专注地进行书写记录）。,视频中的男生坐在办公椅上，低头专注地用笔在黄色笔记本上写字（或做笔记）。
EXP-1 Free/User-2-Jiahe/Task-2/writing-3/output.mp4,视频里的人坐在办公桌前的椅子上，手持笔在黄色笔记本上进行书写操作。,视频里的人坐在办公桌前的椅子上，手持笔在黄色笔记本上书写（专注于记录或书写内容）。,视频中的人（穿白色上衣）坐在办公桌前的椅子上，手持黄色的本子，似乎在专注地进行书写或记录类的工作，周围是摆放着电脑、纸箱、工具等物品的工作环境。
EXP-1 Free/User-2-Jiahe/Task-2/writing-4/output.mp4,,,
EXP-1 Free/User-2-Jiahe/Task-2/writing-5/output.mp4,视频中的人坐在椅子上，手持笔记本和笔，专注地在笔记本上写字。,视频中的人坐在办公椅上，手持笔记本和笔，专注地在笔记本上书写（或记录内容）。,视频中的人坐在椅子上，手持笔在笔记本上进行书写（或记录）操作。
EXP-1 Free/User-2-Jiahe/Task-2/writing-6/output.mp4,视频里的人坐在椅子上，手持笔记本和笔，专注地在笔记本上写字，然后翘起二郎腿。,视频中的人坐在办公椅上，手持笔记本和笔，专注地在笔记本上**书写（记录内容）**；过程中他调整坐姿，将一条腿搭在另一条腿上，继续专注书写。,视频中的人坐在椅子上，手持笔记本和笔进行书写，过程中抬起一条腿（调整坐姿），之后继续专注地在笔记本上写字。
EXP-1 Free/User-2-Jiahe/Task-2/writing-7/output.mp4,视频中的人站在办公室内，手持一卷黄色的纸张，专注地阅读上面的内容，过程中偶尔抬头，似乎在抄写。,视频里的人站在办公室环境中，**手持一卷黄色的纸张（或笔记本），低头专注查看其上的内容**，期间偶尔抬头看向镜头方向。,视频中的人**站立在办公桌旁**，手持黄色文件夹和笔，似乎在**查看文件夹内容并进行记录（或书写）**，期间偶尔抬头，整体处于专注处理文件（记录）的状态，环境是摆放着电脑、箱子、办公椅等设备的办公/实验室场景。
EXP-1 Free/User-2-Jiahe/Task-2/writing-8/output.mp4,视频里的人站着，手持笔记本和笔，专注地在笔记本上写字。,视频中的人站在室内，手持笔记本和笔，正在笔记本上书写（记录内容）。,视频中的人站在办公桌旁，手持笔在黄色的笔记本上书写（或记录内容）。
EXP-1 Free/User-2-Jiahe/Task-2/writing-9/output.mp4,视频中的人坐在办公桌前的椅子上，手持笔在黄色笔记本上书写，期间曾翻页以继续书写。,视频里的人坐在办公桌前的椅子上，手持笔在**黄色笔记本**上书写（记录、做笔记或处理文字工作）；过程中，他调整了笔记本的位置，随后继续专注地书写。,视频中的人坐在办公桌前的椅子上，手持笔在黄色的本子上书写，期间翻动了本子的纸张，之后继续在本子上书写。
EXP-1 Free/User-2-Jiahe/Task-2/writing-10/output.mp4,视频中的人坐在办公桌前的椅子上，手持笔在黄色笔记本上书写记录；之后停止书写，起身并拿起该笔记本。,视频里的人先坐在办公桌前，在黄色笔记本上书写；书写一段时间后，他停下笔，起身并拿起了笔记本。,视频中的人起初坐在椅子上，在黄色的本子上写字；之后他站起身，拿起本子，似乎在查看或整理本子上的内容。
EXP-1 Free/User-2-Jiahe/Task-2/writing-11/output.mp4,视频中的人站在办公区域内，手持笔记本和笔，专注地在笔记本上书写。,视频里的人**站立着**，手持一个黄色的笔记本（或便签本），用黑色的笔在笔记本上**书写（记录内容）**。背景是类似办公室/实验室的环境，周围有桌椅、电脑、纸箱等物品。,视频里的人站在桌旁，手持笔记本和笔，正在笔记本上书写记录。
EXP-1 Free/User-2-Jiahe/Task-2/writing-12/output.mp4,视频中的人手持笔记本和笔，在室内踱步的同时，在笔记本上进行书写记录。,视频中的人手持笔记本和笔，一边在室内走动，一边在笔记本上书写记录，似乎在认真地进行笔记相关的工作。,视频中的人手持黄色笔记本与笔，在办公室内来回走动，同时专注地在笔记本上书写（或记录内容）。
EXP-1 Free/User-2-Jiahe/Task-3/listening-1/output.mp4,视频里的人坐在办公椅上，先将手中的白色头戴式耳机戴在头上并调整好，随后面向前方停留片刻，之后又把耳机摘了下来。,视频中的人坐在办公桌前的椅子上，先将白色耳机戴在头上，随后面向电脑屏幕（似在查看或操作相关内容），之后又用手摘下耳机、拿在手中。,视频中的男子坐在办公桌前，**拿起一副白色耳机并尝试佩戴**，随后又将耳机取下，放置在桌面上。
EXP-1 Free/User-2-Jiahe/Task-3/listening-2/output.mp4,视频中的人戴着白色耳机，头似乎随着韵律摇晃。,视频中的人戴着白色耳机坐在办公桌前，手持笔注视电脑屏幕（似在结合屏幕内容记录或学习），随后将笔放置在黄色笔记本上，调整坐姿。,视频中的人戴着白色耳机坐在办公桌前，先是抬手调整了一下耳机，随后将手放在桌面上，似乎专注于面前的电脑或文件，可能在准备开展工作（如操作电脑、处理文件等）。
EXP-1 Free/User-2-Jiahe/Task-3/listening-3/output.mp4,视频中的人戴着耳机，坐在桌前，手持笔随着旋律摇晃。,视频里的人戴着耳机，坐在桌前，手持笔在黄色的纸张（或本子）上专注地书写（记录、做笔记或完成文字类工作）。,视频里的人（戴着白色耳机、穿白色上衣）坐在办公椅上的办公桌前，手持笔，专注地进行书写或相关工作（似乎在记录、操作或处理桌上事务）。
EXP-1 Free/User-2-Jiahe/Task-3/listening-4/output.mp4,视频中的人戴着耳机，坐在可旋转的椅子上，反复在椅子来回旋转，过程中双手始终扶着耳机。,视频中的人坐在带滚轮的办公椅上，戴着白色耳机，**双手扶着耳机**，多次**转动椅子（旋转座椅）**，身体随之（随椅子）反复转向不同方向（如面向桌子、背对桌子等），似乎在调整耳机、享受音乐或单纯转动椅子。,视频中的人戴着白色耳机，坐在可旋转的办公椅上，**反复左右转动椅子**（身体随之同步左右旋转），双手保持在耳机附近（似调整耳机或扶着耳机）。
